0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.07099163,0.1866168,-2.8398822e-06,0.17485821,0.22730301,-0.013918275,0.20429206,-4.8102248e-11,-0.0034050941,-0.07222794,0.2099719,0.13682714,0.18307853,0.21139106,-1.6274757e-17,-0.017851686,0.17327426,-4.7631625e-07,-0.001189694,-0.012612448,-2.866972e-08,-0.036387738,-2.3564304e-12,0.22226906,1.719139e-19,0.15520209,-0.05332786,-4.4655117e-05,0.15664218,-0.041306816,-0.04807327,0.20010044
-0.06994186,0.19765297,-2.8398822e-06,0.18411091,0.23715338,-0.013916954,0.21718995,-4.8102248e-11,-0.003405121,-0.07281156,0.22487587,0.15156156,0.20355439,0.22748104,-1.6274757e-17,-0.017830128,0.18649861,-4.7631625e-07,-0.0011896939,-0.012599065,-2.866972e-08,-0.036343023,-2.3564304e-12,0.23137863,1.7071414e-19,0.17683381,-0.05299357,-4.4655117e-05,0.17739677,-0.04093638,-0.048071235,0.21447782
-0.07127597,0.20689043,-2.8398822e-06,0.20251465,0.24563634,-0.013918653,0.22378492,-4.8102248e-11,-0.0034050867,-0.07009812,0.22934797,0.1618985,0.2078372,0.23226355,-1.6274757e-17,-0.017867224,0.1985564,-4.7631625e-07,-0.001189694,-0.012617468,-2.866972e-08,-0.0363776,-2.3564304e-12,0.24368635,1.8183226e-19,0.17518827,-0.053680412,-4.4655117e-05,0.18059826,-0.041417252,-0.048081055,0.21943447
-0.07102642,0.18921095,-2.8398822e-06,0.18177979,0.23102686,-0.013918286,0.20864809,-4.8102248e-11,-0.003405094,-0.070910566,0.2145507,0.14065574,0.18951419,0.2160694,-1.6274757e-17,-0.017856881,0.17854488,-4.7631625e-07,-0.001189694,-0.012613244,-2.866972e-08,-0.036372397,-2.3564304e-12,0.22651726,1.7331173e-19,0.15935014,-0.05345893,-4.4655117e-05,0.16248547,-0.041304074,-0.048078492,0.20447832
-0.072292894,0.2865902,-2.8398822e-06,0.2903946,0.3074723,-0.013920069,0.28728685,-4.8102248e-11,-0.0034050571,-0.07125717,0.29085076,0.24474187,0.2845981,0.3000157,-1.6274757e-17,-0.017911373,0.2819122,-4.7631625e-07,-0.0011896942,-0.012632871,-2.866972e-08,-0.036477067,-2.3564304e-12,0.31558233,2.2198242e-19,0.24500445,-0.054262552,-4.4655117e-05,0.25277752,-0.041930236,-0.048081346,0.2817544
-0.07055089,0.2059015,-2.8398822e-06,0.20092197,0.24571688,-0.01391769,0.2256355,-4.8102248e-11,-0.0034051063,-0.07055578,0.2326207,0.16104868,0.21366954,0.2356224,-1.6274757e-17,-0.017852357,0.19836812,-4.7631625e-07,-0.0011896939,-0.012607727,-2.866972e-08,-0.036347624,-2.3564304e-12,0.24217686,1.7800725e-19,0.18206516,-0.05341328,-4.4655117e-05,0.18596989,-0.041145742,-0.04808048,0.22226536
-0.070481144,0.20084664,-2.8398822e-06,0.19010115,0.23950565,-0.013917619,0.21857768,-4.8102248e-11,-0.0034051074,-0.07240693,0.22531924,0.15544304,0.20337214,0.22809695,-1.6274757e-17,-0.0178436,0.1889872,-4.7631625e-07,-0.0011896939,-0.012606005,-2.866972e-08,-0.03636599,-2.3564304e-12,0.23488426,1.757773e-19,0.17549275,-0.05320171,-4.4655117e-05,0.17688103,-0.04112947,-0.048073214,0.2153563
-0.07011661,0.20300455,-2.8398822e-06,0.19101618,0.242032,-0.013917212,0.22224462,-4.8102248e-11,-0.0034051158,-0.071803086,0.22970599,0.15865567,0.20925353,0.23267835,-1.6274757e-17,-0.017835308,0.19393578,-4.7631625e-07,-0.0011896939,-0.012602011,-2.866972e-08,-0.036337722,-2.3564304e-12,0.23779905,1.7326185e-19,0.18051255,-0.053145908,-4.4655117e-05,0.18333372,-0.04100151,-0.04807383,0.21914586
-0.0699016,0.21984528,-2.8398822e-06,0.20627007,0.25393462,-0.0139168445,0.23513448,-4.8102248e-11,-0.0034051228,-0.07430941,0.24276742,0.18074778,0.22455609,0.24736133,-1.6274757e-17,-0.017827736,0.2060743,-4.7631625e-07,-0.0011896939,-0.012597504,-2.866972e-08,-0.03636049,-2.3564304e-12,0.24976349,1.8180112e-19,0.19982722,-0.052870978,-4.4655117e-05,0.19954988,-0.04092262,-0.048066866,0.23307201
-0.069897294,0.20132725,-2.8398822e-06,0.18830085,0.24030468,-0.0139169395,0.22069472,-4.8102248e-11,-0.0034051212,-0.07249112,0.22850245,0.15459456,0.20887159,0.23144548,-1.6274757e-17,-0.017831959,0.19167605,-4.7631625e-07,-0.0011896939,-0.012599165,-2.866972e-08,-0.036339868,-2.3564304e-12,0.23520386,1.7175002e-19,0.18076533,-0.053045247,-4.4655117e-05,0.18191224,-0.040937677,-0.04807238,0.21786654
-0.07127471,0.20535676,-2.8398822e-06,0.20078549,0.24444903,-0.013918652,0.22252369,-4.8102248e-11,-0.0034050867,-0.07002323,0.22809139,0.16058004,0.20614555,0.23088375,-1.6274757e-17,-0.01786649,0.196955,-4.7631625e-07,-0.001189694,-0.012617424,-2.866972e-08,-0.036375396,-2.3564304e-12,0.24236013,1.8109411e-19,0.17363507,-0.053677112,-4.4655117e-05,0.1791411,-0.041413162,-0.048081066,0.21818033
-0.06965311,0.18775627,-2.8398822e-06,0.17162071,0.22808161,-0.013916484,0.20799983,-4.8102248e-11,-0.0034051302,-0.07473577,0.21603262,0.1391407,0.19289221,0.21801722,-1.6274757e-17,-0.017819991,0.17221364,-4.7631625e-07,-0.0011896938,-0.012593616,-2.866972e-08,-0.036354,-2.3564304e-12,0.21991466,1.6709196e-19,0.16968724,-0.052682307,-4.4655117e-05,0.16629861,-0.040813465,-0.048066568,0.20581728
-0.07114576,0.21534592,-2.8398822e-06,0.20932977,0.25192645,-0.013918469,0.23077367,-4.8102248e-11,-0.0034050902,-0.07081218,0.23647188,0.17499638,0.215476,0.2401815,-1.6274757e-17,-0.017860368,0.2056517,-4.7631625e-07,-0.001189694,-0.012615152,-2.866972e-08,-0.036376115,-2.3564304e-12,0.25055578,1.8512041e-19,0.18453486,-0.05355618,-4.4655117e-05,0.18989477,-0.0413606,-0.048077863,0.22680658
-0.07025549,0.20971961,-2.8398822e-06,0.19961227,0.24782138,-0.013917364,0.2281941,-4.8102248e-11,-0.0034051128,-0.071442574,0.23549378,0.16950406,0.2156525,0.23898122,-1.6274757e-17,-0.01783835,0.20064005,-4.7631625e-07,-0.0011896939,-0.012603651,-2.866972e-08,-0.03633701,-2.3564304e-12,0.24423078,1.7714895e-19,0.18693422,-0.053218395,-4.4655117e-05,0.1906965,-0.041039918,-0.048074827,0.22532015
-0.070746474,0.20879096,-2.8398822e-06,0.19968511,0.2464568,-0.013917994,0.22554345,-4.8102248e-11,-0.0034051,-0.07135518,0.23188588,0.16642639,0.21047068,0.23514551,-1.6274757e-17,-0.017850015,0.19895259,-4.7631625e-07,-0.001189694,-0.0126100825,-2.866972e-08,-0.03636306,-2.3564304e-12,0.24355794,1.7940728e-19,0.18098299,-0.053387675,-4.4655117e-05,0.18497956,-0.04122553,-0.048075475,0.22198054
-0.07405694,0.37409586,-2.8398822e-06,0.38923183,0.37526298,-0.013922523,0.3553908,-4.8102248e-11,-0.0034050064,-0.07140821,0.35560665,0.33171302,0.36538106,0.37137848,-1.6274757e-17,-0.017978799,0.37532055,-4.7631625e-07,-0.0011896944,-0.012659429,-2.866972e-08,-0.036609963,-2.3564304e-12,0.39602104,2.6836526e-19,0.31490856,-0.055254113,-4.4655117e-05,0.3271138,-0.042756498,-0.04808538,0.34738776
-0.07142802,0.19675317,-2.8398822e-06,0.19622509,0.23907077,-0.013918866,0.21682975,-4.8102248e-11,-0.0034050825,-0.06831556,0.22238515,0.1462771,0.2010677,0.22428562,-1.6274757e-17,-0.017877217,0.19215399,-4.7631625e-07,-0.001189694,-0.0126205385,-2.866972e-08,-0.036366653,-2.3564304e-12,0.23700665,1.7763347e-19,0.16455472,-0.053900406,-4.4655117e-05,0.17149054,-0.04147426,-0.04808807,0.21180052
