"","M0000001547","M0100000657","M0100001777","X11540_37","X8403_18","ENSG00000079332.15","ENSG00000083937.10","ENSG00000105829.13","ENSG00000107771.17","ENSG00000108799.13","ENSG00000111275.13","ENSG00000117528.14","ENSG00000118579.13","ENSG00000121774.18","ENSG00000129824.16","ENSG00000132323.9","ENSG00000140750.17","ENSG00000145907.16","ENSG00000152443.13","ENSG00000160213.9","ENSG00000174953.14","ENSG00000185946.16","ENSG00000188938.17","ENSG00000204370.13"
"ENSG00000111275.13",0.00025666132522033,0.000243896507258261,0.000242760994687157,0.000593771123237834,0.000428687178507085,0.000296951431154292,0.000273879264434042,0.000493687989097179,3.52609917749297e-05,0.000536634349225149,0,1.6689506728681e-05,0.000285831970324579,0.000362842609138483,0.000127154174840725,7.46686206478513e-05,7.13541675191612e-05,0.000526357637006006,0.000346472972174796,0.000216245528950596,0.000679216791922221,0.000685327030520806,0.000277687818350104,0.000285516298913921
"ENSG00000117528.14",3.82031366576851e-05,2.27982989335772e-05,3.03468082998608e-05,6.0915418895318e-05,5.41191566387268e-05,8.31802500366109e-06,2.11131089144436e-05,5.98651726818682e-05,3.58552979767206e-06,8.84576179620963e-05,1.6689506728681e-05,0,1.49164158203928e-05,4.10905300992541e-05,1.64765572325825e-05,1.04814086744583e-05,7.64691117311615e-06,7.79893544708043e-05,5.74918218848805e-05,8.33043729962911e-06,0.000114096702274672,8.09654245122125e-05,6.87133124077509e-05,6.05324516474976e-06
"ENSG00000118579.13",0.000630207836683132,0.000756117372627591,0.000585852039105339,0.00273419525240296,0.00149333301873237,0.00119535235480144,0.00165152117515998,0.00155267365751744,5.73293731927137e-05,0.00180839949458779,0.000285831970324579,1.49164158203928e-05,0,0.00108048798100134,0.000328557144202271,0.000134930466102464,0.000147317546530234,0.00222385369574775,0.0011887643020803,0.000640697621955941,0.00269243380149435,0.00189134113652842,0.000788428116425473,0.000839468185874742
"ENSG00000121774.18",0.000801838345474885,0.000712369398177055,0.000695046456735197,0.00234474155606521,0.00142122612650371,0.00084479048651558,0.00132541348345707,0.00167881818033356,8.15841107571161e-05,0.00153759256344642,0.000362842609138483,4.10905300992541e-05,0.00108048798100134,0,0.000318359308639635,0.000272339477828356,0.00017038831431558,0.00217646656486239,0.00118217696319805,0.000699041699004679,0.00248251177953773,0.00221796172922039,0.00118461956026721,0.000795573046258155
"ENSG00000129824.16",0.000182929817606423,0.000226156631959796,0.000207255637856063,0.000561038946109158,0.000365122191808676,0.000337300713592192,0.000305756334154533,0.000414709524642645,3.07744458052311e-05,0.000584323135283377,0.000127154174840725,1.64765572325825e-05,0.000328557144202271,0.000318359308639635,0,5.48637606557714e-05,6.98492869294496e-05,0.0004655769602924,0.000265821032736817,0.000145802700198881,0.000742255979547548,0.00059206077132067,0.000155295736050514,0.000238654089562588
"ENSG00000132323.9",0.000119870906155037,0.000113025233040117,0.000123262366702352,0.000558229735506237,0.000345666340622994,9.92743343100002e-05,0.000285027006191141,0.000363986016108543,2.18383219165139e-05,0.000232102791685168,7.46686206478513e-05,1.04814086744583e-05,0.000134930466102464,0.000272339477828356,5.48637606557714e-05,0,3.64287294731299e-05,0.000460280222695404,0.000246362513727496,0.000172117629546519,0.000344441850106371,0.000455575575108738,0.000288925137901991,0.000132262717777233
"ENSG00000140750.17",8.99112404062123e-05,0.00011695934406141,0.0001117097746958,0.000299555358480951,0.000203248943185509,0.000160810781009066,0.00014365533279887,0.000222316615803913,1.99236773738597e-05,0.000264098140010599,7.13541675191612e-05,7.64691117311615e-06,0.000147317546530234,0.00017038831431558,6.98492869294496e-05,3.64287294731299e-05,0,0.000243132730493419,0.000126107020904577,0.000100494614854917,0.000335899576332046,0.000311593410129558,8.85449271541682e-05,0.000138805690914365
"ENSG00000145907.16",0.00126568824367763,0.00109821226212499,0.00105938531184172,0.00523803978494676,0.0029016135305052,0.00125703700693544,0.00263463181082586,0.00304444817791816,0.000111073965404921,0.00265279192673529,0.000526357637006006,7.79893544708043e-05,0.00222385369574775,0.00217646656486239,0.0004655769602924,0.000460280222695404,0.000243132730493419,0,0.0021247327745782,0.00102169216812154,0.00488764790935259,0.0038319797890616,0.00219247099161641,0.00118494683173912
"ENSG00000152443.13",0.00120495104868652,0.000803676009056607,0.000745564392977956,0.00244135113597426,0.0016474416400949,0.00242714989397314,0.00307564469731249,0.00534697707366398,4.60370236973003e-05,0.00447175204019028,0.000346472972174796,5.74918218848805e-05,0.0011887643020803,0.00118217696319805,0.000265821032736817,0.000246362513727496,0.000126107020904577,0.0021247327745782,0,0.000722609407581247,0.00235472894398558,0.00299438827424248,0.00150888635989276,0.000766878168887616
"ENSG00000160213.9",0.000492185027967447,0.000483877785861951,0.000442758306170854,0.00121748978168017,0.00085207414705094,0.000571540495413514,0.000873882601739267,0.00111703489319712,6.58448513602048e-05,0.000745043648781686,0.000216245528950596,8.33043729962911e-06,0.000640697621955941,0.000699041699004679,0.000145802700198881,0.000172117629546519,0.000100494614854917,0.00102169216812154,0.000722609407581247,0,0.00104670005988563,0.00126478015838893,0.000783549695240731,0.000652211719469625
