"","M0000000267","M0000000512","M0000000803","M0000000811","M0100000269","M0100000616","M0100001620","M0100003001","M0100015790","X10603_1","X12563_2","X16818_200","X18174_79","X5489_18","X8255_34","X9869_28","ENSG00000009335.18","ENSG00000030066.13","ENSG00000099910.17","ENSG00000114861.23","ENSG00000116539.14","ENSG00000119596.18","ENSG00000121892.15","ENSG00000123124.14","ENSG00000130066.16","ENSG00000134644.16","ENSG00000135905.20","ENSG00000137752.24","ENSG00000143543.15","ENSG00000145439.12","ENSG00000169045.17","ENSG00000169228.14","ENSG00000176871.9","ENSG00000213719.8","ENSG00000232931.6"
"X12563_2",0.956303899945767,1,0.248149932857121,0.258892037582545,0.649149564038434,0.225776004544479,0.90931975302729,0.696548451996783,0.312148561353585,0.424228313932034,0,0.372550693962198,0.849957422135438,0.836633920962086,0.639393366987294,0.883027802137741,0.32231780111804,0.25273315081301,0.301412605729261,0.241855482605988,0.282736257999735,0.318117685751789,0.346681238926729,0.297403351529998,0.348900476139318,0.271914292276518,0.38025773643984,0.242826859899301,0.301873487273719,0.44384423267084,0.366932041919924,0.352708035321016,0.220628732180354,0.268394469270052,0.328553111509277
"X16818_200",0.328015001294591,0.341893243092202,0.0888504682271596,0.0850411260490456,0.215177812426334,0.0753692402867804,0.296651076657197,0.233517125090097,0.106029370633018,0.143618524361976,0.372550693962198,0,0.294304157919348,0.281981050530033,0.207901103165544,0.29321941746121,0.109217744749356,0.0829136826729945,0.097663279283772,0.0831274080258651,0.0942783281521308,0.106789416109137,0.120396057883472,0.0980392838159126,0.126672312342878,0.0846111074124002,0.125276081550887,0.0884629154382301,0.108875898493474,0.162831336401479,0.124054044764866,0.118923911056331,0.0826189690262289,0.0859857452952131,0.117558643987482
"X18174_79",0.773023696272226,0.781501523379649,0.191895591933309,0.198213740515735,0.498102486916987,0.176449992397,0.735546931832423,0.546373320809296,0.237502371895705,0.319711184169958,0.849957422135438,0.294304157919348,0,0.674390489400274,0.498003977170097,0.715696989008577,0.244028024297348,0.191006965396263,0.223154558559523,0.183131670032475,0.21921359229566,0.243294504295383,0.269074409488133,0.227762475524828,0.27800911145026,0.219205174136545,0.298685620429313,0.185514796800907,0.243524206337688,0.366938277304367,0.300327709802448,0.274280427861064,0.18390914541434,0.20008972043949,0.248991155050591
"X5489_18",0.763975002186259,0.767480946675357,0.185573055863734,0.192809709108847,0.483134507091405,0.17409216758826,0.692797872447052,0.522554170168829,0.226025921578976,0.314067992400336,0.836633920962086,0.281981050530033,0.674390489400274,0,0.481235278455879,0.690763642207817,0.240356267784398,0.1968169746611,0.220634921549162,0.173969634326202,0.208951081244653,0.239145283214347,0.262043526572094,0.224868085749849,0.270180876022871,0.204372052392325,0.284642032718267,0.183701260267516,0.235904204181349,0.350000568583334,0.286334192786813,0.267485037914679,0.173337086755902,0.194495784967337,0.242115110891885
"X8255_34",0.563029471106072,0.572726708588264,0.143414567734964,0.146998440172478,0.365539156766144,0.129146133151628,0.523753788045197,0.404386116005852,0.177071094181747,0.2304336709184,0.639393366987294,0.207901103165544,0.498003977170097,0.481235278455879,0,0.536393304858477,0.179773289159071,0.149047169722736,0.162935524116759,0.134980249486042,0.157160331605935,0.17994057237911,0.206737006858474,0.186225556731404,0.197779484813948,0.165610280916702,0.218990948306916,0.130066615037772,0.17492354747204,0.265889931036143,0.225131917402532,0.198796093666643,0.126309619970549,0.143781250798492,0.18453248513394
"X9869_28",0.817092286309554,0.803174408040575,0.20154430505524,0.20814342529653,0.519208928337436,0.184215107336272,0.747571648087746,0.564830140271602,0.257631186549611,0.325253753650544,0.883027802137741,0.29321941746121,0.715696989008577,0.690763642207817,0.536393304858477,0,0.266896541454495,0.216210220898801,0.237274705451452,0.19597573126189,0.240046102929125,0.271284347639709,0.281297705698178,0.243528667873406,0.274894261946554,0.23298943217821,0.322216380847175,0.178700294488511,0.258733724159332,0.388930426348131,0.328599854391402,0.280582199096119,0.187118431380998,0.207419235970213,0.268041887022889
"ENSG00000009335.18",0.277282373631954,0.287435241237672,0.0709910626005631,0.0705437613968814,0.183070864386379,0.0648251114432458,0.259109340235476,0.196775878982238,0.0897097137168589,0.116926041576704,0.32231780111804,0.109217744749356,0.244028024297348,0.240356267784398,0.179773289159071,0.266896541454495,0,0.0722541823262973,0.0777574800051698,0.0696023232955041,0.0895086306689625,0.0935945872534995,0.0935955956500936,0.0881779817249086,0.100253657917201,0.0832123013636909,0.111322580506875,0.0685890634259677,0.0912032029183955,0.140081342731669,0.107669742736889,0.102303405803399,0.0600371942021577,0.0735669776189357,0.0921021750210276
"ENSG00000030066.13",0.21887258217838,0.219462201677124,0.0567882195439425,0.0595398990561455,0.147857722847075,0.0529355293359163,0.205811100520765,0.159445014080494,0.0723526283294298,0.0909745945434463,0.25273315081301,0.0829136826729945,0.191006965396263,0.1968169746611,0.149047169722736,0.216210220898801,0.0722541823262973,0,0.0653033472370032,0.0610203765339072,0.0673021394201669,0.0778508594020983,0.0788565704825675,0.0757354858248165,0.0790133623065888,0.071221610860168,0.0817761313519386,0.0495971039180711,0.0764016916412481,0.108337392630836,0.0877200333837116,0.07510967966604,0.0527343208624912,0.0606452505780254,0.0736746605580891
"ENSG00000099910.17",0.253211463180709,0.258977814524793,0.0645562503291448,0.065693936533702,0.164627251992542,0.0571433156964187,0.24492753045607,0.17656849738045,0.0812839812564933,0.113269789481911,0.301412605729261,0.097663279283772,0.223154558559523,0.220634921549162,0.162935524116759,0.237274705451452,0.0777574800051698,0.0653033472370032,0,0.0627912220857887,0.0738006834424614,0.0804582429444972,0.089325431168339,0.0731677558237741,0.0962958564780637,0.0734191707215712,0.100165306271738,0.0622198975988924,0.0709514677022006,0.113375364995843,0.0968931045702333,0.0920886896725852,0.0581295950538522,0.0664340967775712,0.0860272873054924
"ENSG00000114861.23",0.196850341479708,0.209048077397242,0.0515798978908961,0.051301570284245,0.135675844929597,0.0463750181942295,0.188301627974853,0.146871250474356,0.0672884883818072,0.0840249273068549,0.241855482605988,0.0831274080258651,0.183131670032475,0.173969634326202,0.134980249486042,0.19597573126189,0.0696023232955041,0.0610203765339072,0.0627912220857887,0,0.065635614138066,0.0740306429362425,0.0751994520350171,0.060897626501827,0.0726659917489745,0.0586596515646425,0.0774239672151487,0.0507834490770555,0.0686422881540579,0.0975310831154589,0.0830666655407038,0.0728419683185661,0.047184793975944,0.0545636349501485,0.0668493107220715
"ENSG00000116539.14",0.239834620956191,0.24678098440728,0.0610012472248097,0.0665749966067406,0.162852182756659,0.0555565726629571,0.229209007096983,0.178777361060026,0.0819353387983212,0.103573763696848,0.282736257999735,0.0942783281521308,0.21921359229566,0.208951081244653,0.157160331605935,0.240046102929125,0.0895086306689625,0.0673021394201669,0.0738006834424614,0.065635614138066,0,0.0906337317831807,0.0875467873009021,0.0759132918924303,0.0829360947681571,0.0746514130744178,0.099024147318327,0.0636463747851594,0.0826892196843583,0.121214565550017,0.0975212005491602,0.0874066323957217,0.0543125043348117,0.0623065973529588,0.0816560746306959
"ENSG00000119596.18",0.269013285388797,0.289517310382963,0.0694394753055676,0.0736834638437459,0.1775726141486,0.0618712890984518,0.247016831507402,0.201718651657781,0.0891613558436679,0.117385020922479,0.318117685751789,0.106789416109137,0.243294504295383,0.239145283214347,0.17994057237911,0.271284347639709,0.0935945872534995,0.0778508594020983,0.0804582429444972,0.0740306429362425,0.0906337317831807,0,0.110152085945377,0.0826067910260951,0.0976933580419121,0.0829667183635472,0.104003263299771,0.0661755962467555,0.0936512998102641,0.140130776259091,0.108051479010034,0.0909828630957909,0.0592022873606112,0.0751273146120469,0.0933435208823563
"ENSG00000121892.15",0.311774039734229,0.308319281249355,0.0766759707669028,0.0815564059800479,0.196474491719753,0.0702216477263377,0.279408285067858,0.218578338088907,0.0963416413945885,0.130470041674938,0.346681238926729,0.120396057883472,0.269074409488133,0.262043526572094,0.206737006858474,0.281297705698178,0.0935955956500936,0.0788565704825675,0.089325431168339,0.0751994520350171,0.0875467873009021,0.110152085945377,0,0.0942639190197947,0.106015501708854,0.0915170487759704,0.115586704964224,0.0725233422266775,0.0914787268198322,0.145382393191089,0.122117599392288,0.103014070944486,0.0704246477375074,0.0840390062983429,0.104905516123119
"ENSG00000123124.14",0.27009682866512,0.267248454744863,0.0661551181649263,0.0695646025486912,0.166639272371593,0.0611731450241076,0.232009356612022,0.186027956900682,0.080771760344681,0.112580401258101,0.297403351529998,0.0980392838159126,0.227762475524828,0.224868085749849,0.186225556731404,0.243528667873406,0.0881779817249086,0.0757354858248165,0.0731677558237741,0.060897626501827,0.0759132918924303,0.0826067910260951,0.0942639190197947,0,0.101185213504779,0.077328753322125,0.100026287696166,0.0586883934677302,0.0894575748434394,0.130931065417889,0.10319015081485,0.0914125440489452,0.0584103773046239,0.0658287410623946,0.0896719019435234
"ENSG00000130066.16",0.306072456947613,0.320852041920433,0.0766258598064697,0.0820325747839853,0.203709481303094,0.0709070442371022,0.291807255190157,0.21053432813963,0.094735024168518,0.136360444867812,0.348900476139318,0.126672312342878,0.27800911145026,0.270180876022871,0.197779484813948,0.274894261946554,0.100253657917201,0.0790133623065888,0.0962958564780637,0.0726659917489745,0.0829360947681571,0.0976933580419121,0.106015501708854,0.101185213504779,0,0.0857066879253976,0.115785188492244,0.0784555813207086,0.0914937849802942,0.144749942208768,0.118239135431973,0.111410143447423,0.0737556072094152,0.0814722367862119,0.101418024505146
"ENSG00000134644.16",0.23793033695767,0.240425186529651,0.0614002984778505,0.0627835109134991,0.153293268558943,0.0563826098673239,0.228754045919912,0.169768167683302,0.0785816885630801,0.101054328586044,0.271914292276518,0.0846111074124002,0.219205174136545,0.204372052392325,0.165610280916702,0.23298943217821,0.0832123013636909,0.071221610860168,0.0734191707215712,0.0586596515646425,0.0746514130744178,0.0829667183635472,0.0915170487759704,0.077328753322125,0.0857066879253976,0,0.0959047062937876,0.0505748688714731,0.0724394310695389,0.117458096170581,0.108340997305891,0.0810774889843695,0.0543363791312204,0.0611081316099328,0.080949160845487
"ENSG00000135905.20",0.335761176239876,0.327342115405312,0.0859976021021205,0.0864218511409666,0.216724691449307,0.0766919909108212,0.319183950445031,0.233282720203805,0.106227015549041,0.143415329500856,0.38025773643984,0.125276081550887,0.298685620429313,0.284642032718267,0.218990948306916,0.322216380847175,0.111322580506875,0.0817761313519386,0.100165306271738,0.0774239672151487,0.099024147318327,0.104003263299771,0.115586704964224,0.100026287696166,0.115785188492244,0.0959047062937876,0,0.0805645209807159,0.102576886570647,0.163760095312287,0.14361044491798,0.121610433286671,0.0765966009764895,0.0838969465730857,0.113776855187194
"ENSG00000137752.24",0.211676770883923,0.216855823480924,0.0535481641889547,0.0562679499946567,0.134071769814094,0.0461660655631603,0.193893985322488,0.144681670063328,0.0633354964799025,0.0910607499696316,0.242826859899301,0.0884629154382301,0.185514796800907,0.183701260267516,0.130066615037772,0.178700294488511,0.0685890634259677,0.0495971039180711,0.0622198975988924,0.0507834490770555,0.0636463747851594,0.0661755962467555,0.0725233422266775,0.0586883934677302,0.0784555813207086,0.0505748688714731,0.0805645209807159,0,0.0658348014941466,0.096055809950907,0.0770477654463258,0.0814667116243485,0.0503253815293526,0.0561628157038189,0.0670795912860066
"ENSG00000143543.15",0.26792938230315,0.270067177823211,0.068295781341661,0.0697361898707698,0.171413445046163,0.0608489709448191,0.24360963423752,0.190136546147019,0.0844956178965905,0.106022549159541,0.301873487273719,0.108875898493474,0.243524206337688,0.235904204181349,0.17492354747204,0.258733724159332,0.0912032029183955,0.0764016916412481,0.0709514677022006,0.0686422881540579,0.0826892196843583,0.0936512998102641,0.0914787268198322,0.0894575748434394,0.0914937849802942,0.0724394310695389,0.102576886570647,0.0658348014941466,0,0.138463611959039,0.10818737933804,0.0883023389827324,0.0643405467538311,0.066381555367499,0.0886698348277226
